title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
Multilingual Practices: Tackling Challenges and Creating Opportunities,https://view.vzaar.com/9134361/image,"In a world of globalisation, people who do not share the same language meet more often every day. Being able to deal with these multilingual practices in an effective way can give you an advantage in your daily life and work.",https://www.futurelearn.com/courses/multilingual-practices?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-tMYcxbm3svGX.AxtEXwy.A,nan,[],[],[],Beginner/Intermediate,FutureLearn
Antiquities Trafficking and Art Crime,https://view.vzaar.com/5348091/image,"From fakes and fraud, to thefts and trafficking, art crime has turned archaeological sites in Iraq and Syria into “lunar landscapes”, decapitated Buddha sculptures in Cambodia and left empty frames on museum walls. So how do we protect our heritage from theft, illegal sale, and destruction? Delve into the world of art crime and antiquities trafficking with this online course, and get answers from those fighting to save the world’s precious artefacts.",https://www.futurelearn.com/courses/art-crime?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-LXyJE94Nq1QryH2B1IAJzA,nan,[],[],[],Beginner/Intermediate,FutureLearn
"Academic Integrity: Values, Skills, Action",https://view.vzaar.com/2684892/image,"What is academic integrity? Why is it so important in academia? And how can you, as a student at university, achieve with integrity and honesty?",https://www.futurelearn.com/courses/academic-integrity?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-n37Hp3jFBTtyBI7lM6.k4A,nan,[],[],[],Beginner/Intermediate,FutureLearn
Begin Programming: Build Your First Mobile Game,https://view.vzaar.com/8237800/image,,https://www.futurelearn.com/courses/begin-programming?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ZBqNnCOWu6H2Y3Xd1Fy8TA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Global Blindness: Planning and Managing Eye Care Services,https://view.vzaar.com/2956886/image,"Around the world, 285 million people are blind or visually impaired. 75% of this is avoidable and 90% is in low- and middle-income countries. In this online course we highlight the key facts about avoidable blindness and global initiatives to address it.",https://www.futurelearn.com/courses/global-blindness?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-u7ADDesZxc2PG.a8bvv9Jw,nan,[],[],[],Beginner/Intermediate,FutureLearn
"William Wordsworth: Poetry, People and Place",https://view.vzaar.com/4010469/image,"This free online course will explore the great poetry of William Wordsworth, with an emphasis on his writing process and the inspirational landscape of the Lake District. This course is presented in association with the Wordsworth Trust, Grasmere.",https://www.futurelearn.com/courses/william-wordsworth?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-NKhl_RO10MIEr9p3UFDGNQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Innovation: the Food Industry,https://view.vzaar.com/5696198/image,This course considers the ways in which the food industry has evolved over the past 70 years and has created the industry of convenience we have today.,https://www.futurelearn.com/courses/food-innovation?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-k71A.emelVQvs8M6C3o.EA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Starting a Business 5: Managing Finances,https://view.vzaar.com/5654116/image,"The management of finances is crucial to a successful business; financial information provides the evidence to support your decisions about a business and helps to justify those decisions when you present them to other people. Whether you have an idea for a future venture or you already have a side-line business whilst studying, this course will introduce you to key financial information and gives you a chance to discuss your ideas with others.",https://www.futurelearn.com/courses/starting-a-business-5?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-gvCcClW4.fb245bHHd0zrg,nan,[],[],[],Beginner/Intermediate,FutureLearn
Learning Online: Reflecting and Sharing,https://view.vzaar.com/5697480/image,"In this course, you’ll be introduced to some of the tools you can use to help you reflect on your learning; such as short tests and quizzes or online logs and journals. You will then move on to focus on sharing your learning with others. By producing and sharing video, using blogs, pin-boards, collaborative platforms or social media you can enrich the learning experience.",https://www.futurelearn.com/courses/reflecting-and-sharing?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ueOJ8a_bxIbVMLw57Ev5BQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
"Understanding Anxiety, Depression and CBT",https://view.vzaar.com/6398391/image,"Anxiety and depression are two of the most commonly diagnosed mental health difficulties. Media coverage of mental health issues is now greater than ever, but what do those labels actually mean? On this course, you’ll explore what it means to have anxiety or depression by considering the signs and symptoms of these difficulties and contributing factors using a cognitive behavioural framework. The course will also demonstrate how cognitive behavioural therapy (CBT) can be used to effectively treat depression and anxiety. This course is not intended to be a tool for self-treatment or for diagnosis. If you are concerned about yourself or someone else, please consult your primary healthcare professional.",https://www.futurelearn.com/courses/anxiety-depression-and-cbt?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-7bTtANKCPgoYb1xm9rF6qg,nan,[],[],[],Beginner/Intermediate,FutureLearn
